city,year,brand,model,color,body_type,engine,engine_power,fuel_type,kilometrage,transmission,drivetrain,new,price
Bakı,2014,Kia,Sorento,Yaş Asfalt,Offroader / SUV,2.2 L,197 a.g.,Dizel,129 000 km,Avtomat,Tam,Xeyr,46 300 AZN
Bakı,2013,Kia,Rio,Qara,Sedan,1.4 L,107 a.g.,Benzin,160 000 km,Avtomat,Ön,Xeyr,17 500 AZN
Bakı,2015,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,82 000 km,Avtomat,Ön,Xeyr,25 900 $
Bakı,2011,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,190 000 km,Avtomat,Ön,Xeyr,21 800 AZN
Bakı,2008,Kia,Sportage,Ağ,Offroader / SUV,2.0 L,140 a.g.,Dizel,130 000 km,Avtomat,Ön,Xeyr,18 800 AZN
Bakı,2008,Kia,Ceed,Qara,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,169 000 km,Mexaniki,Ön,Xeyr,12 800 AZN
Bakı,2007,Kia,Ceed,Qara,Universal,1.6 L,115 a.g.,Dizel,183 000 km,Mexaniki,Ön,Xeyr,13 900 AZN
Bakı,2014,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,122 310 km,Avtomat,Ön,Xeyr,24 500 AZN
Bakı,2010,Kia,Rio,Ağ,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,177 000 km,Mexaniki,Ön,Xeyr,12 500 AZN
Bakı,2008,Kia,Ceed,Gümüşü,Universal,1.6 L,115 a.g.,Dizel,237 000 km,Mexaniki,Ön,Xeyr,14 900 AZN
Bakı,2008,Kia,Ceed,Ağ,Universal,1.6 L,115 a.g.,Dizel,171 000 km,Mexaniki,Ön,Xeyr,14 500 AZN
Bakı,2008,Kia,Ceed,Gümüşü,Universal,1.6 L,115 a.g.,Dizel,237 504 km,Mexaniki,Ön,Xeyr,13 500 AZN
Bakı,2013,Kia,Optima,Ağ,Sedan,2.0 L,274 a.g.,Benzin,93 700 km,Avtomat,Ön,Xeyr,23 900 AZN
Bakı,2011,Kia,Picanto,Göy,Hetçbek / Liftbek,1.3 L,85 a.g.,Benzin,86 000 km,Avtomat,Ön,Xeyr,15 500 AZN
Bakı,2010,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,62 000 km,Avtomat,Ön,Xeyr,28 300 AZN
Bakı,2014,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,93 000 km,Avtomat,Ön,Xeyr,23 900 AZN
Masallı,1998,Kia,Sephia,Yaşıl,Sedan,1.5 L,80 a.g.,Benzin,240 000 km,Mexaniki,Ön,Xeyr,5 200 AZN
Bakı,2007,Kia,Ceed,Qara,Universal,1.4 L,109 a.g.,Benzin,180 000 km,Mexaniki,Ön,Xeyr,13 400 AZN
Bakı,2013,Kia,Cadenza,Qara,Sedan,3.5 L,290 a.g.,Benzin,142 000 km,Avtomat,Ön,Xeyr,31 900 AZN
Bakı,2014,Kia,Cadenza,Yaş Asfalt,Sedan,3.3 L,293 a.g.,Benzin,161 000 km,Avtomat,Ön,Xeyr,31 800 AZN
Bakı,2005,Kia,Rio,Qara,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,172 000 km,Avtomat,Ön,Xeyr,12 999 AZN
Bakı,2006,Kia,Magentis,Tünd qırmızı,Sedan,2.0 L,140 a.g.,Dizel,181 592 km,Avtomat,Ön,Xeyr,15 200 AZN
Bakı,2006,Kia,Sorento,Qara,Offroader / SUV,2.5 L,170 a.g.,Dizel,313 567 km,Avtomat,Tam,Xeyr,16 800 AZN
Bakı,2006,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,170 000 km,Mexaniki,Ön,Xeyr,12 300 AZN
Gəncə,2009,Kia,Rio,Yaş Asfalt,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,83 000 km,Mexaniki,Ön,Xeyr,11 800 AZN
Bakı,2008,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,116 a.g.,Dizel,226 150 km,Avtomat,Ön,Xeyr,18 300 AZN
Bakı,2009,Kia,Ceed,Qara,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,139 400 km,Mexaniki,Ön,Xeyr,13 990 AZN
Bakı,2007,Kia,Ceed,Mavi,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,215 000 km,Mexaniki,Ön,Xeyr,12 800 AZN
Bakı,2012,Kia,Sorento,Ağ,Offroader / SUV,2.4 L,174 a.g.,Benzin,128 000 km,Avtomat,Tam,Xeyr,28 300 AZN
Bakı,2014,Kia,Sportage,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,135 000 km,Avtomat,Tam,Xeyr,26 800 AZN
Bakı,2012,Kia,Sportage,Qara,Offroader / SUV,2.0 L,166 a.g.,Benzin,125 000 km,Avtomat,Tam,Xeyr,24 900 AZN
Bakı,2007,Kia,Rio,Tünd qırmızı,Hetçbek / Liftbek,1.6 L,112 a.g.,Benzin,154 000 km,Avtomat,Ön,Xeyr,13 700 AZN
Bakı,2007,Kia,Rio,Qırmızı,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,136 300 km,Mexaniki,Ön,Xeyr,11 000 AZN
Bakı,2008,Kia,Rio,Ağ,Sedan,1.4 L,97 a.g.,Benzin,300 000 km,Mexaniki,Ön,Xeyr,9 000 AZN
Bakı,2014,Kia,Optima,Qara,Sedan,2.0 L,150 a.g.,Benzin,70 000 km,Avtomat,Ön,Xeyr,26 500 AZN
Bakı,2012,Kia,Sorento,Qara,Offroader / SUV,2.4 L,178 a.g.,Benzin,120 000 km,Avtomat,Tam,Xeyr,27 200 AZN
Bakı,2015,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,82 000 km,Avtomat,Ön,Xeyr,25 900 $
